,category,combo,count
0,Multi-CNN VS Kyo Kusanagi,2,61
1,Multi-CNN VS Kyo Kusanagi,3,78
2,Multi-CNN VS Kyo Kusanagi,4,0
3,Multi-CNN VS Kyo Kusanagi,5,0
4,Multi-CNN VS Kyo Kusanagi,6,0
5,Multi-CNN VS Kyo Kusanagi,7,0
6,Multi-CNN VS Kyo Kusanagi,8,23
7,Multi-CNN VS Kyo Kusanagi,9,0
8,Multi-CNN VS Kyo Kusanagi,10,0
9,Multi-CNN VS Kyo Kusanagi,11,0
10,Multi-CNN VS Kyo Kusanagi,12,0
0,Multi-CNN VS Goro Daimon,2,28
1,Multi-CNN VS Goro Daimon,3,9
2,Multi-CNN VS Goro Daimon,4,0
3,Multi-CNN VS Goro Daimon,5,0
4,Multi-CNN VS Goro Daimon,6,0
5,Multi-CNN VS Goro Daimon,7,0
6,Multi-CNN VS Goro Daimon,8,42
7,Multi-CNN VS Goro Daimon,9,17
8,Multi-CNN VS Goro Daimon,10,0
9,Multi-CNN VS Goro Daimon,11,0
10,Multi-CNN VS Goro Daimon,12,0
0,Multi-CNN VS Mai Shiranui,2,51
1,Multi-CNN VS Mai Shiranui,3,8
2,Multi-CNN VS Mai Shiranui,4,0
3,Multi-CNN VS Mai Shiranui,5,0
4,Multi-CNN VS Mai Shiranui,6,0
5,Multi-CNN VS Mai Shiranui,7,0
6,Multi-CNN VS Mai Shiranui,8,27
7,Multi-CNN VS Mai Shiranui,9,13
8,Multi-CNN VS Mai Shiranui,10,0
9,Multi-CNN VS Mai Shiranui,11,0
10,Multi-CNN VS Mai Shiranui,12,0
0,Multi-CNN VS Billy,2,52
1,Multi-CNN VS Billy,3,6
2,Multi-CNN VS Billy,4,19
3,Multi-CNN VS Billy,5,0
4,Multi-CNN VS Billy,6,0
5,Multi-CNN VS Billy,7,0
6,Multi-CNN VS Billy,8,2
7,Multi-CNN VS Billy,9,21
8,Multi-CNN VS Billy,10,0
9,Multi-CNN VS Billy,11,0
10,Multi-CNN VS Billy,12,0
0,LSTM VS Kyo Kusanagi,2,29
1,LSTM VS Kyo Kusanagi,3,87
2,LSTM VS Kyo Kusanagi,4,0
3,LSTM VS Kyo Kusanagi,5,0
4,LSTM VS Kyo Kusanagi,6,0
5,LSTM VS Kyo Kusanagi,7,0
6,LSTM VS Kyo Kusanagi,8,0
7,LSTM VS Kyo Kusanagi,9,0
8,LSTM VS Kyo Kusanagi,10,0
9,LSTM VS Kyo Kusanagi,11,0
10,LSTM VS Kyo Kusanagi,12,0
0,Random Agent,2,22
1,Random Agent,3,8
2,Random Agent,4,0
3,Random Agent,5,0
4,Random Agent,6,0
5,Random Agent,7,0
6,Random Agent,8,9
7,Random Agent,9,1
8,Random Agent,10,0
9,Random Agent,11,0
10,Random Agent,12,0
0,LSTM VS Kyo Kusanagi 786 units,2,6
1,LSTM VS Kyo Kusanagi 786 units,3,6
2,LSTM VS Kyo Kusanagi 786 units,4,0
3,LSTM VS Kyo Kusanagi 786 units,5,0
4,LSTM VS Kyo Kusanagi 786 units,6,0
5,LSTM VS Kyo Kusanagi 786 units,7,0
6,LSTM VS Kyo Kusanagi 786 units,8,30
7,LSTM VS Kyo Kusanagi 786 units,9,7
8,LSTM VS Kyo Kusanagi 786 units,10,0
9,LSTM VS Kyo Kusanagi 786 units,11,0
10,LSTM VS Kyo Kusanagi 786 units,12,0
